City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Isangel,VU,2021-06-11 07:37:48,-19.55,169.2667,72.57,75,39,10.38
113,Berasia,IN,2021-06-11 07:37:48,23.6333,77.4333,91.85,26,18,13.42
114,Najran,SA,2021-06-11 07:37:49,17.4924,44.1277,99.25,8,100,13.8
115,Nome,US,2021-06-11 07:33:15,64.5011,-165.4064,43.11,81,90,0.0
116,Faanui,PF,2021-06-11 07:37:49,-16.4833,-151.75,78.66,82,38,11.7
117,Bluff,NZ,2021-06-11 07:37:50,-46.6,168.3333,44.94,74,36,5.21
118,Itapirapua,BR,2021-06-11 07:37:50,-15.8233,-50.6133,71.19,58,100,5.79
119,Burgos,ES,2021-06-11 07:37:50,42.3394,-3.7079,59.41,72,0,12.66
120,Atagay,RU,2021-06-11 07:37:51,55.1033,99.3875,63.75,32,95,4.16
121,Uvira,CD,2021-06-11 07:37:51,-3.4067,29.1458,80.11,50,54,3.69
122,Marawi,PH,2021-06-11 07:37:52,7.9986,124.2928,71.94,94,100,0.78
123,North Bend,US,2021-06-11 07:37:52,43.4065,-124.2243,54.86,81,40,3.44
124,Macamic,CA,2021-06-11 07:37:53,48.7502,-78.9996,46.63,88,16,4.72
125,Katsuura,JP,2021-06-11 07:37:53,35.1333,140.3,79.23,68,100,8.95
126,Atbasar,KZ,2021-06-11 07:37:54,51.8,68.3333,66.27,40,88,10.38
127,Datong,CN,2021-06-11 07:37:54,40.0936,113.2914,80.76,17,100,11.07
128,Kruisfontein,ZA,2021-06-11 07:37:54,-34.0033,24.7314,69.4,34,3,8.68
129,Talnakh,RU,2021-06-11 07:37:55,69.4865,88.3972,33.44,100,100,13.13
130,Bathurst,AU,2021-06-11 07:37:55,-33.4166,149.5806,43.97,89,100,6.73
131,Lebu,CL,2021-06-11 07:37:56,-37.6167,-73.65,52.68,70,99,3.0
132,Ciechocinek,PL,2021-06-11 07:37:56,52.8791,18.7951,71.53,60,83,4.56
133,East London,ZA,2021-06-11 07:37:56,-33.0153,27.9116,68.94,42,0,10.36
134,Damaturu,NG,2021-06-11 07:37:57,11.747,11.9608,94.17,32,65,8.32
135,Akyab,MM,2021-06-11 07:37:57,20.15,92.9,79.79,91,100,12.84
136,Castro,BR,2021-06-11 07:37:58,-24.7911,-50.0119,55.09,95,100,3.8
137,Cairns,AU,2021-06-11 07:37:58,-16.9167,145.7667,75.15,69,90,4.61
138,Porto Novo,BJ,2021-06-11 07:37:59,6.4965,2.6036,83.62,70,55,7.29
139,Mvuma,ZW,2021-06-11 07:37:59,-19.2792,30.5283,62.73,36,0,9.62
140,Fukue,JP,2021-06-11 07:38:00,32.6881,128.8419,71.96,100,75,12.66
141,Lapeer,US,2021-06-11 07:38:00,43.0514,-83.3188,69.35,100,1,0.0
142,Dano,BF,2021-06-11 07:38:00,11.15,-3.0667,81.1,68,98,11.61
143,Alofi,NU,2021-06-11 07:38:01,-19.0595,-169.9187,71.49,88,2,9.22
144,College,US,2021-06-11 07:38:01,64.8569,-147.8028,60.78,63,75,4.61
145,Torrington,US,2021-06-11 07:38:02,41.8007,-73.1212,55.94,84,11,2.51
146,Abu Zabad,SD,2021-06-11 07:38:03,12.35,29.25,95.31,29,31,12.37
147,Georgetown,MY,2021-06-11 07:35:29,5.4112,100.3354,89.55,67,20,1.01
148,Nantucket,US,2021-06-11 07:34:25,41.2835,-70.0995,60.1,68,1,8.05
149,Zhezkazgan,KZ,2021-06-11 07:38:04,47.8043,67.7144,80.44,25,0,7.9
150,Klaksvik,FO,2021-06-11 07:38:05,62.2266,-6.589,49.12,85,14,21.65
151,Koshurnikovo,RU,2021-06-11 07:38:05,54.1667,93.3,64.72,37,31,5.3
152,Narino,CO,2021-06-11 07:38:06,5.6089,-75.1766,65.34,95,99,1.72
153,Jiquilisco,SV,2021-06-11 07:38:06,13.3167,-88.5833,76.98,86,100,3.29
154,Honningsvag,NO,2021-06-11 07:38:07,70.9821,25.9704,55.15,82,90,6.91
155,Sobolevo,RU,2021-06-11 07:38:07,54.4299,31.8996,57.72,93,100,7.49
156,Cabo San Lucas,MX,2021-06-11 07:33:49,22.8909,-109.9124,82.81,63,15,9.98
157,Bubaque,GW,2021-06-11 07:38:08,11.2833,-15.8333,78.24,82,100,1.54
158,Avarua,CK,2021-06-11 07:38:09,-21.2078,-159.775,71.65,78,20,3.44
159,Salamiyah,SY,2021-06-11 07:38:09,35.0113,37.0532,78.96,40,0,22.55
160,Taborfalva,HU,2021-06-11 07:38:10,47.0994,19.4784,75.67,56,11,2.91
161,Tasiilaq,GL,2021-06-11 07:38:10,65.6145,-37.6368,37.56,97,100,5.61
162,Bulgan,MN,2021-06-11 07:38:11,48.8125,103.5347,62.02,67,72,9.1
163,Biak,ID,2021-06-11 07:38:11,-0.9131,122.8766,82.69,70,78,7.14
164,Chokurdakh,RU,2021-06-11 07:38:12,70.6333,147.9167,55.26,30,0,5.66
165,Guerrero Negro,MX,2021-06-11 07:38:12,27.9769,-114.0611,61.9,81,8,17.98
166,Alnashi,RU,2021-06-11 07:38:12,56.1874,52.4792,67.39,61,69,13.94
167,Alice Springs,AU,2021-06-11 07:38:13,-23.7,133.8833,65.75,19,5,4.61
168,Saskylakh,RU,2021-06-11 07:38:13,71.9167,114.0833,58.6,48,73,14.63
169,Yenagoa,NG,2021-06-11 07:38:14,4.9247,6.2642,81.19,83,98,4.32
170,Constitucion,CL,2021-06-11 07:38:14,-35.3333,-72.4167,50.43,79,56,6.06
171,Hilo,US,2021-06-11 07:38:14,19.7297,-155.09,73.8,85,90,0.0
172,Grand Island,US,2021-06-11 07:38:15,40.925,-98.342,79.09,72,1,7.0
173,Dunedin,NZ,2021-06-11 07:38:16,-45.8742,170.5036,44.8,83,27,1.01
174,San Patricio,US,2021-06-11 07:38:16,28.017,-97.5169,82.29,93,68,7.76
175,Bethel,US,2021-06-11 07:38:17,41.3712,-73.414,59.65,81,1,0.0
176,Banjar,ID,2021-06-11 07:38:17,-8.19,114.9675,85.86,77,94,1.36
177,Chelbasskaya,RU,2021-06-11 07:38:18,45.9792,39.3719,72.95,62,2,7.92
178,Mandalgovi,MN,2021-06-11 07:38:18,45.7625,106.2708,75.94,26,52,14.7
179,Asau,RO,2021-06-11 07:38:18,46.4333,26.4,71.96,48,99,3.04
180,La Ronge,CA,2021-06-11 07:38:19,55.1001,-105.2842,55.65,94,90,11.5
181,Calama,CL,2021-06-11 07:38:19,-22.4667,-68.9333,43.29,19,0,21.85
182,Iqaluit,CA,2021-06-11 07:36:33,63.7506,-68.5145,31.73,86,40,8.01
183,Norman Wells,CA,2021-06-11 07:38:21,65.282,-126.8329,64.44,52,40,8.05
184,Lincoln,US,2021-06-11 07:35:35,40.8,-96.667,80.51,71,1,5.01
185,Inhambane,MZ,2021-06-11 07:38:21,-23.865,35.3833,66.18,88,40,0.0
186,Harper,LR,2021-06-11 07:38:22,4.375,-7.7169,76.95,87,100,2.33
187,Kailua,US,2021-06-11 07:38:22,21.4022,-157.7394,78.78,68,28,22.59
188,Marzuq,YE,2021-06-11 07:38:23,14.4,46.4667,96.37,11,82,10.45
189,Fortuna,US,2021-06-11 07:38:23,40.5982,-124.1573,54.66,73,90,3.44
190,Hithadhoo,MV,2021-06-11 07:38:23,-0.6,73.0833,83.8,74,98,12.66
191,Omboue,GA,2021-06-11 07:38:24,-1.5746,9.2618,79.0,78,84,4.45
192,Itupiranga,BR,2021-06-11 07:38:25,-5.1347,-49.3267,75.52,97,100,2.8
193,Necochea,AR,2021-06-11 07:38:25,-38.5473,-58.7368,44.08,72,77,11.07
194,Te Anau,NZ,2021-06-11 07:38:26,-45.4167,167.7167,42.87,93,21,1.34
195,Gwadar,PK,2021-06-11 07:38:27,25.1216,62.3254,87.24,73,53,11.32
196,Fort Nelson,CA,2021-06-11 07:38:28,58.8053,-122.7002,49.59,100,75,2.3
197,Sosnovo-Ozerskoye,RU,2021-06-11 07:38:29,52.5249,111.5418,77.85,28,100,5.48
198,Puerto Ayora,EC,2021-06-11 07:38:29,-0.7393,-90.3518,73.54,93,98,4.0
199,Turtas,RU,2021-06-11 07:38:30,58.9417,69.1325,69.3,28,88,4.61
200,Husavik,IS,2021-06-11 07:38:30,66.0449,-17.3389,42.71,97,100,17.78
201,Bengkulu,ID,2021-06-11 07:38:31,-3.8004,102.2655,83.84,67,100,6.04
202,San Juan,AR,2021-06-11 07:38:31,-31.5375,-68.5364,49.42,78,97,1.63
203,Carbajales,HN,2021-06-11 07:38:32,15.5167,-86.35,69.91,95,100,3.27
204,Luwuk,ID,2021-06-11 07:38:32,-0.9516,122.7875,84.65,71,66,6.24
205,Escarcega,MX,2021-06-11 07:38:32,18.6089,-90.7454,71.38,98,100,3.0
206,Taltal,CL,2021-06-11 07:38:33,-25.4,-70.4833,63.23,54,0,3.31
207,Kupang,ID,2021-06-11 07:38:33,-10.1667,123.5833,84.78,65,40,17.27
208,Hobyo,SO,2021-06-11 07:38:34,5.3505,48.5268,84.76,62,21,25.03
209,Port Blair,IN,2021-06-11 07:34:42,11.6667,92.75,84.67,79,100,19.26
210,Zhigansk,RU,2021-06-11 07:38:34,66.7697,123.3711,59.5,61,100,4.52
211,Port Macquarie,AU,2021-06-11 07:34:22,-31.4333,152.9167,55.36,61,0,8.16
212,Izumo,JP,2021-06-11 07:38:35,35.3667,132.7667,76.89,61,100,26.46
213,Sur,OM,2021-06-11 07:38:36,22.5667,59.5289,96.4,51,3,4.94
214,Sitka,US,2021-06-11 07:38:36,57.0531,-135.33,53.49,76,75,0.0
215,Matane,CA,2021-06-11 07:38:37,48.8286,-67.522,47.95,63,99,6.51
216,Saint-Philippe,RE,2021-06-11 07:38:37,-21.3585,55.7679,77.49,84,76,16.35
217,Chicama,PE,2021-06-11 07:38:38,-7.8447,-79.1469,64.27,90,69,5.66
218,Kavaratti,IN,2021-06-11 07:38:38,10.5669,72.642,83.89,74,100,17.2
219,Rengo,CL,2021-06-11 07:34:21,-34.4167,-70.8667,47.23,64,96,5.61
220,Acarau,BR,2021-06-11 07:36:34,-2.8856,-40.12,74.52,91,59,11.81
221,Pokhara,NP,2021-06-11 07:38:39,28.2333,83.9833,82.2,70,79,4.05
222,Vestmanna,FO,2021-06-11 07:38:40,62.1564,-7.1664,47.32,93,90,12.66
223,Padang,ID,2021-06-11 07:38:40,-0.9492,100.3543,87.85,64,67,4.99
224,Praia Da Vitoria,PT,2021-06-11 07:38:41,38.7333,-27.0667,66.76,88,75,3.02
225,Ayan,RU,2021-06-11 07:38:41,56.45,138.1667,44.87,81,98,12.28
226,Namatanai,PG,2021-06-11 07:38:42,-3.6667,152.4333,81.61,78,86,11.43
227,Sao Filipe,CV,2021-06-11 07:38:42,14.8961,-24.4956,73.26,86,100,8.5
228,Birin,NP,2021-06-11 07:38:43,26.8865,88.0718,67.19,87,100,1.57
229,Alekseyevsk,RU,2021-06-11 07:38:43,57.8406,108.3492,60.67,55,95,2.33
230,Russell,US,2021-06-11 07:38:44,32.3502,-85.1999,74.48,93,90,0.0
231,Ambon,ID,2021-06-11 07:38:45,-3.6954,128.1814,87.94,66,40,5.75
232,Ekhabi,RU,2021-06-11 07:38:49,53.5102,142.9671,49.73,97,100,4.47
233,Ostrovnoy,RU,2021-06-11 07:38:49,68.0531,39.5131,72.68,34,98,23.13
234,Maceio,BR,2021-06-11 07:35:40,-9.6658,-35.7353,72.84,94,75,3.44
235,Merauke,ID,2021-06-11 07:38:50,-8.4667,140.3333,80.38,86,37,16.26
236,Toronto,CA,2021-06-11 07:38:35,43.7001,-79.4163,64.36,55,1,1.99
237,Camacha,PT,2021-06-11 07:38:51,33.0833,-16.3333,72.36,88,20,10.36
238,Natalio,PY,2021-06-11 07:38:52,-26.7167,-55.0833,55.67,99,66,3.53
239,Rovaniemi,FI,2021-06-11 07:38:52,66.5,25.7167,71.01,52,20,17.27
240,Nalut,LY,2021-06-11 07:38:53,30.3333,10.85,78.69,28,0,6.29
241,Hay River,CA,2021-06-11 07:38:53,60.8156,-115.7999,46.38,100,75,5.75
242,Sorland,NO,2021-06-11 07:38:53,67.667,12.6934,55.47,96,100,19.24
243,Terra Santa,BR,2021-06-11 07:38:54,-2.1042,-56.4869,71.83,99,100,2.06
244,Hamilton,US,2021-06-11 07:36:51,39.1834,-84.5333,73.56,95,75,0.0
245,Kysyl-Syr,RU,2021-06-11 07:38:55,63.8986,122.7617,67.64,46,100,11.14
246,Birjand,IR,2021-06-11 07:38:55,32.8663,59.2211,100.87,5,0,11.5
247,Mantua,IT,2021-06-11 07:38:56,45.1667,10.7833,78.69,70,100,5.01
248,Isla Vista,US,2021-06-11 07:38:56,34.4133,-119.861,66.69,61,0,1.01
249,Hasaki,JP,2021-06-11 07:38:57,35.7333,140.8333,79.29,67,70,10.65
250,New Norfolk,AU,2021-06-11 07:38:58,-42.7826,147.0587,55.76,83,100,1.01
