City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Korla,CN,41.7597,86.1469,79.2,14,100,6.29,overcast clouds
276,Bambous Virieux,MU,-20.3428,57.7575,77.22,83,40,8.05,scattered clouds
277,Boo,SE,59.3333,18.2833,60.98,71,0,3.44,clear sky
278,Salalah,OM,17.0151,54.0924,84.29,84,75,6.91,broken clouds
279,Piacabucu,BR,-10.4056,-36.4344,73.11,81,19,5.1,few clouds
280,Sobradinho,BR,-12.8333,-39.1,65.61,96,26,2.08,scattered clouds
281,Peniche,PT,39.3558,-9.3811,66.72,94,55,9.66,broken clouds
282,Gizo,SB,-8.103,156.8419,83.73,70,41,3.51,scattered clouds
283,Dabat,ET,12.9842,37.765,62.58,55,82,3.83,broken clouds
284,Chuy,UY,-33.6971,-53.4616,44.31,75,24,7.38,few clouds
285,Lukovetskiy,RU,64.2956,41.9211,51.78,62,26,12.26,scattered clouds
286,San Jeronimo,PE,-11.9472,-75.2829,45.88,76,97,5.14,overcast clouds
287,Pucallpa,PE,-8.3791,-74.5539,75.69,76,100,1.1,overcast clouds
288,Green River,US,41.5286,-109.4662,78.19,23,97,7.99,overcast clouds
289,Portland,US,45.5234,-122.6762,58.86,79,1,1.01,clear sky
290,Saldanha,ZA,-33.0117,17.9442,57.25,84,98,7.7,overcast clouds
291,Ojus,US,25.9484,-80.1506,77.0,98,20,0.0,few clouds
292,Krasnoarmeysk,RU,51.0239,45.6969,72.28,71,22,13.73,few clouds
293,Poum,NC,-20.2333,164.0167,75.38,85,24,17.83,few clouds
294,Nome,US,64.5011,-165.4064,48.16,87,75,5.75,broken clouds
295,Okhotsk,RU,59.3833,143.3,44.69,97,100,6.64,light rain
296,Liwale,TZ,-9.7667,37.9333,69.4,55,45,6.02,scattered clouds
297,Guisa,CU,20.255,-76.5386,75.51,90,99,3.36,overcast clouds
298,Biltine,TD,14.5333,20.9167,88.99,34,88,12.84,overcast clouds
299,Ampanihy,MG,-24.7,44.75,67.93,64,4,13.4,clear sky
300,Uvat,RU,59.1433,68.8953,72.46,45,81,10.38,broken clouds
301,Pedernales,DO,18.0384,-71.744,79.72,66,3,3.78,clear sky
302,Pindiga,NG,9.9833,10.9333,71.64,86,85,11.79,moderate rain
303,Sungaipenuh,ID,-2.0833,101.3833,72.99,88,48,0.49,light rain
304,Hildburghausen,DE,50.4255,10.7318,67.37,90,100,2.89,overcast clouds
305,Coro,VE,11.4045,-69.6734,77.14,87,88,11.81,overcast clouds
306,Taoudenni,ML,22.6783,-3.9836,93.24,10,0,8.84,clear sky
307,Pontianak,ID,-0.0333,109.3333,89.58,66,75,0.0,broken clouds
308,Flin Flon,CA,54.7682,-101.865,63.88,66,1,10.89,clear sky
309,Kenai,US,60.5544,-151.2583,60.89,68,1,11.5,clear sky
310,Pemangkat,ID,1.1667,108.9667,85.33,65,61,5.46,broken clouds
311,Pitimbu,BR,-7.4706,-34.8086,72.19,92,99,9.44,overcast clouds
312,Komsomolskiy,UZ,40.4272,71.7189,81.82,29,1,6.91,clear sky
313,Adre,TD,13.4667,22.2,84.85,36,89,6.69,overcast clouds
314,Nyuksenitsa,RU,60.4128,44.2397,67.91,48,15,7.81,few clouds
315,Atbasar,KZ,51.8,68.3333,87.04,24,88,6.71,overcast clouds
316,Puerto Carreno,CO,6.189,-67.4859,74.88,90,100,5.23,overcast clouds
317,Touros,BR,-5.1989,-35.4608,74.3,93,83,8.55,broken clouds
318,Khani,GE,41.9563,42.9566,65.77,67,63,4.25,broken clouds
319,Cap Malheureux,MU,-19.9842,57.6142,77.47,69,0,5.99,clear sky
320,Arman,RU,59.7,150.1667,46.85,89,100,4.68,light rain
321,Segou,ML,13.4317,-6.2157,81.28,57,100,12.88,overcast clouds
322,Mercedes,AR,-34.6515,-59.4307,39.83,73,91,6.26,overcast clouds
323,Sovetskiy,RU,61.3614,63.5842,71.06,36,96,4.59,overcast clouds
324,Alofi,NU,-19.0595,-169.9187,73.29,88,81,3.44,light rain
325,Half Moon Bay,US,37.4636,-122.4286,69.12,69,1,6.91,haze
326,Wiarton,CA,44.7407,-81.1332,55.85,62,1,4.61,clear sky
327,Madang,PG,-5.2246,145.7966,82.89,76,100,6.89,light rain
328,Wageningen,NL,51.9667,5.6667,66.94,73,74,3.44,broken clouds
329,Najran,SA,17.4924,44.1277,86.65,10,37,2.71,scattered clouds
330,Mahon,ES,39.8885,4.2658,73.96,100,20,6.91,few clouds
331,Taltal,CL,-25.4,-70.4833,59.02,76,71,3.06,broken clouds
332,Saint-Philippe,RE,-21.3585,55.7679,78.35,83,61,10.65,light rain
333,Vila Velha,BR,-20.3297,-40.2925,60.75,94,0,2.3,clear sky
334,Malatya,TR,38.5,38.0,69.85,38,0,4.61,clear sky
335,Turtas,RU,58.9417,69.1325,72.81,37,77,11.25,broken clouds
336,Angoche,MZ,-16.2325,39.9086,74.41,73,60,7.27,broken clouds
337,Oranjestad,AW,12.524,-70.027,80.55,83,20,16.11,few clouds
