City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,168,Orlik,RU,52.5178,99.825,45.7,53,79,7.83,light rain
169,169,Whitianga,NZ,-36.8333,175.7,61.02,91,100,5.59,overcast clouds
170,170,Payo,ID,-3.7508,103.6372,88.45,54,51,3.58,broken clouds
171,171,Westport,US,41.1415,-73.3579,68.25,87,75,3.0,broken clouds
172,172,Digby,CA,44.6169,-65.7655,55.24,86,44,11.36,light rain
173,173,Asau,RO,46.4333,26.4,55.96,92,100,4.03,overcast clouds
174,174,Inhambane,MZ,-23.865,35.3833,53.58,100,20,0.0,few clouds
175,175,Sobolevo,RU,54.4299,31.8996,61.02,91,6,4.59,clear sky
176,176,Grao Mogol,BR,-16.5594,-42.8897,54.21,93,0,2.37,clear sky
177,177,Obo,CF,5.3998,26.4869,66.83,98,100,4.14,overcast clouds
178,178,Vinh Long,VN,10.25,105.9667,80.58,66,71,11.1,broken clouds
179,179,Berlevag,NO,70.8578,29.0864,42.58,85,100,8.68,overcast clouds
180,180,Jumla,NP,29.2747,82.1838,55.42,97,100,3.76,overcast clouds
181,181,Margate,GB,51.3813,1.3862,63.18,91,100,3.0,overcast clouds
182,182,Cayenne,GF,4.9333,-52.3333,81.09,86,20,1.99,few clouds
183,183,Turukhansk,RU,65.8167,87.9833,63.12,57,99,15.93,light rain
184,184,Kembe,CF,4.6228,21.8865,68.56,90,100,3.22,overcast clouds
185,185,Hobyo,SO,5.3505,48.5268,78.1,82,100,20.69,overcast clouds
186,186,Pisco,PE,-13.7,-76.2167,65.01,85,84,1.99,broken clouds
187,187,Xichang,CN,27.8964,102.2634,83.88,61,100,5.61,light rain
188,188,Severo-Kurilsk,RU,50.6789,156.125,48.96,81,3,4.43,clear sky
189,189,San Carlos De Bariloche,AR,-41.1456,-71.3082,33.44,49,0,2.53,clear sky
190,190,Puerto Escondido,MX,15.85,-97.0667,80.22,84,99,2.84,overcast clouds
191,191,Kismayo,SO,-0.3582,42.5454,77.83,73,61,15.35,broken clouds
192,192,Floresta,BR,-8.6011,-38.5686,67.69,90,87,8.39,overcast clouds
193,193,Gigmoto,PH,13.7796,124.39,87.98,63,20,10.38,few clouds
194,194,Baykit,RU,61.67,96.37,64.45,38,86,4.07,overcast clouds
195,195,Kollam,IN,8.8833,76.6,84.07,80,100,14.18,overcast clouds
196,196,Boguchany,RU,58.3814,97.4531,61.75,34,46,5.26,scattered clouds
197,197,Plettenberg Bay,ZA,-34.0527,23.3716,59.22,63,74,3.58,broken clouds
198,198,Vila,PT,42.0304,-8.1588,60.69,88,39,4.65,scattered clouds
199,199,Tecpan,GT,14.7623,-90.9947,54.37,95,100,0.63,overcast clouds
200,200,Ribeira Grande,PT,38.5167,-28.7,68.32,81,46,1.92,scattered clouds
201,201,Lamu,KE,-2.2717,40.902,77.22,71,82,12.73,broken clouds
202,202,Seoul,KR,37.5683,126.9778,73.4,78,90,6.91,overcast clouds
203,203,Stykkisholmur,IS,65.0757,-22.7297,36.21,71,8,10.65,clear sky
204,204,Buchanan,LR,5.8808,-10.0467,77.59,86,79,7.0,light rain
205,205,Knysna,ZA,-34.0363,23.0471,59.02,65,89,4.56,overcast clouds
206,206,Alofi,NU,-19.0595,-169.9187,77.41,72,40,25.84,scattered clouds
207,207,Agadez,NE,19.75,10.25,81.63,16,0,7.74,clear sky
208,208,Bilibino,RU,68.0546,166.4372,68.74,30,60,10.63,broken clouds
209,209,Morlaix,FR,48.5833,-4.0,59.07,94,90,9.22,overcast clouds
210,210,Akdepe,TM,42.0551,59.3788,80.6,10,0,15.05,clear sky
211,211,Acajutla,SV,13.5928,-89.8275,78.8,77,100,3.29,overcast clouds
212,212,Yingkou,CN,40.6648,122.2283,72.91,65,90,8.37,overcast clouds
213,213,Hukuntsi,BW,-24.0,21.75,52.34,40,0,7.34,clear sky
214,214,San Joaquin,US,37.9333,-121.3011,73.98,49,1,13.8,clear sky
215,215,Orda,RU,57.1951,56.9091,66.6,86,98,13.62,overcast clouds
216,216,Poquoson,US,37.1224,-76.3458,79.0,81,56,1.99,broken clouds
217,217,Hirara,JP,24.8,125.2833,83.89,85,100,19.24,overcast clouds
218,218,Kamskiye Polyany,RU,55.4307,51.4171,67.01,84,99,5.79,overcast clouds
219,219,Shache,CN,38.4167,77.2406,71.53,37,100,12.19,overcast clouds
220,220,Airai,TL,-8.9266,125.4092,75.87,44,36,3.0,scattered clouds
221,221,Esperance,AU,-33.8667,121.9,57.04,70,99,29.48,overcast clouds
222,222,Tansen,NP,27.8673,83.5467,63.84,98,100,4.5,moderate rain
223,223,Meulaboh,ID,4.1363,96.1285,77.27,90,94,5.46,light rain
224,224,Ahar,IR,38.4774,47.0699,71.6,51,0,0.83,clear sky
225,225,Georgetown,MY,5.4112,100.3354,87.75,76,20,1.01,few clouds
226,226,Longyearbyen,SJ,78.2186,15.6401,29.97,88,47,3.74,scattered clouds
227,227,Nome,US,64.5011,-165.4064,46.47,93,90,17.27,light rain
228,228,Faya,SA,18.3851,42.4509,72.09,11,22,2.26,few clouds
229,229,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.26,89,54,5.95,broken clouds
230,230,Tiarei,PF,-17.5333,-149.3333,80.62,79,39,21.43,light rain
231,231,Mahon,ES,39.8885,4.2658,70.36,68,0,3.44,clear sky
232,232,Tutoia,BR,-2.7619,-42.2744,79.27,84,100,12.01,overcast clouds
233,233,Mogadishu,SO,2.0371,45.3438,78.89,81,100,16.13,overcast clouds
234,234,Hervey Bay,AU,-25.2986,152.8535,68.09,83,14,7.54,few clouds
235,235,Isla Mujeres,MX,21.2311,-86.731,78.17,83,100,14.12,overcast clouds
236,236,Sarakhs,IR,36.5449,61.1577,86.74,8,0,6.02,clear sky
237,237,Wanaka,NZ,-44.7,169.15,51.04,91,100,1.72,overcast clouds
