,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
337,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
338,Aligudarz,IR,86.22,clear sky,33.4006,49.6949,کوچه شهید محمد جواد رشیدی
340,Wajir,KE,77.85,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
347,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Lamana Hotel
349,Veraval,IN,87.01,overcast clouds,20.9,70.3667,Lords Inn Somnath
351,Fuchu,JP,79.66,broken clouds,35.6667,139.4833,Hotel Sunlight
353,Aneho,TG,79.0,overcast clouds,6.2333,1.6,Hotel La Linette
355,Kendari,ID,83.7,moderate rain,-3.945,122.4989,Hotel Wixel
361,Matara,LK,85.77,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
366,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
367,Ternate,ID,78.8,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
368,Tagusao,PH,88.12,few clouds,9.1924,117.8141,Toledo
374,Bocas Del Toro,PA,79.07,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
377,Bengkulu,ID,80.06,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
381,Takoradi,GH,76.82,moderate rain,4.8845,-1.7554,Raybow International Hotel
382,Souillac,MU,77.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
386,Loa Janan,ID,83.8,overcast clouds,-0.583,117.095,Pondok hijau 2A
390,Sibolga,ID,86.18,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
392,Aswan,EG,87.01,clear sky,24.0934,32.907,Nuba Nile
393,Hami,CN,80.91,scattered clouds,42.8,93.45,Laoyutang Resort
394,Boueni,YT,82.38,scattered clouds,-12.9025,45.0761,The feet in water
400,Jhargram,IN,86.11,heavy intensity rain,22.45,86.9833,Sarada Hotel
403,San Remigio,PH,87.53,overcast clouds,11.0809,123.9381,San Remigio Cultural Center and Leisure
404,Kununurra,AU,89.58,few clouds,-15.7667,128.7333,Hotel Kununurra
405,Lufilufi,WS,76.78,moderate rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
412,Garowe,SO,82.67,overcast clouds,8.4054,48.4845,Curubo Hotel
413,Macau,MO,89.8,scattered clouds,22.2006,113.5461,Grand Emperor Hotel
418,Nenjiang,CN,78.91,light rain,49.1833,125.2167,Nenjiang Apartment
419,Mapimi,MX,77.18,scattered clouds,25.8167,-103.85,Propiedad Lldm
424,Ust-Ishim,RU,78.03,scattered clouds,57.6935,71.1665,"Velichko T.p., Gostinitsa"
429,Meadow Lake,US,85.48,overcast clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
430,Tezu,IN,82.08,overcast clouds,27.9167,96.1667,Circuit House
431,Waw,SS,77.5,broken clouds,7.7029,27.9953,Universal Gab Hotel
435,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
438,Kirakira,SB,82.87,broken clouds,-10.4544,161.9205,SanBiz Lodge
439,Kushima,JP,78.31,overcast clouds,31.4583,131.2333,Hanaoka
441,Wahiawa,US,77.32,overcast clouds,21.5028,-158.0236,Aloha Wahiawa
442,Kismayo,SO,80.65,overcast clouds,-0.3582,42.5454,Agan-Hotel
443,Pallasovka,RU,77.27,few clouds,50.05,46.8833,"Hotel ""Natalia"""
446,Morgan City,US,77.0,mist,29.6994,-91.2068,Hampton Inn & Suites Morgan City
449,Guamuchil,MX,83.75,broken clouds,25.4667,-108.1,Hotel Heredia
450,Keti Bandar,PK,88.21,overcast clouds,24.1447,67.4497,Haji laloo memon house
453,Labuhan,ID,85.35,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
456,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
462,Riohacha,CO,79.74,overcast clouds,11.5444,-72.9072,Hotel Taroa
464,Buala,SB,83.34,clear sky,-8.145,159.5921,Maringe Lagoon Lodge
466,Vung Tau,VN,86.56,broken clouds,10.346,107.0843,Green hotel
468,Shahpur,IN,77.59,overcast clouds,16.7,76.8333,Sai Deluxe Shahapur
469,Kathmandu,NP,75.42,overcast clouds,27.7167,85.3167,Hotel Shanker Kathmandu
470,Basco,PH,84.22,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
474,Abeche,TD,87.04,broken clouds,13.8292,20.8324,Assaleh Hamdan Haroune
475,Juybar,IR,84.36,clear sky,36.6412,52.9124,مجتمع مسکونی آرامیس ۲
479,Helong,CN,80.1,few clouds,42.5397,128.9972,Helong Hotel
483,Kieta,PG,82.49,light rain,-6.2167,155.6333,Uruna Bay Retreat
486,Male,MV,87.75,broken clouds,4.1748,73.5089,Hotel Octave Maldives
489,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
495,Ujjain,IN,86.88,scattered clouds,23.1833,75.7667,SPOT ON 69320 Hotel New Neha Palace
500,Isangel,VU,82.51,scattered clouds,-19.55,169.2667,Tanna Lodge
502,Barela,IN,77.81,haze,23.1,80.05,GRKIST Boys Hostel
503,Mnogovershinnyy,RU,80.8,broken clouds,53.9353,139.9242,Kvartsevaya Sopka
504,Itarema,BR,75.0,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
511,Dorado,PR,80.94,overcast clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
513,Boa Vista,BR,75.18,light rain,2.8197,-60.6733,Aipana Plaza Hotel
515,Marsh Harbour,BS,81.12,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
516,Mangan,IN,86.2,overcast clouds,27.5167,88.5333,Hotel Mout View
519,Vanimo,PG,83.64,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
521,Lazaro Cardenas,MX,80.49,overcast clouds,17.9583,-102.2,quinta antigua
523,Puerto Madero,MX,78.58,overcast clouds,14.7208,-92.4215,Hotel La Central
524,Dezhou,CN,85.73,overcast clouds,37.4486,116.2925,Zhongtai International Hotel
526,Mumford,GH,76.57,moderate rain,5.2618,-0.759,Spanish Villa
535,Bijie,CN,80.47,overcast clouds,27.3125,105.2942,Four Points by Sheraton Bijie
541,Saint-Pierre,RE,78.44,moderate rain,-21.3393,55.4781,Lindsey Hôtel
