City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Khatanga,RU,2021-06-14 05:25:00,71.9667,102.5,41.05,90,100,14.83
112,Half Moon Bay,US,2021-06-14 05:25:01,37.4636,-122.4286,67.78,86,75,6.91
113,The Valley,AI,2021-06-14 05:25:01,18.217,-63.0578,81.1,76,100,21.94
114,Gueret,FR,2021-06-14 05:25:04,46.1667,1.8667,65.03,88,8,2.68
115,Kodiak,US,2021-06-14 05:25:04,57.79,-152.4072,53.11,76,1,0.0
116,Phan Thiet,VN,2021-06-14 05:23:16,10.9333,108.1,90.39,54,87,10.83
117,Yekaterinoslavka,RU,2021-06-14 05:25:05,50.3734,129.1139,77.9,59,34,14.32
118,Mlonggo,ID,2021-06-14 05:25:05,-6.5333,110.7,89.49,58,76,5.03
119,Nouadhibou,MR,2021-06-14 05:25:06,20.931,-17.0347,71.58,73,0,21.85
120,Rajpipla,IN,2021-06-14 05:25:06,21.8667,73.5,93.13,49,46,14.23
121,Namibe,AO,2021-06-14 05:25:07,-15.1961,12.1522,69.94,59,2,4.47
122,Ust-Nera,RU,2021-06-14 05:25:07,64.5667,143.2,53.98,79,97,10.76
123,Mount Gambier,AU,2021-06-14 05:25:08,-37.8333,140.7667,62.51,63,88,14.97
124,Moldova Sulita,RO,2021-06-14 05:25:08,47.6833,25.25,48.88,98,100,3.22
125,Tual,ID,2021-06-14 05:25:08,-5.6667,132.75,81.21,79,73,16.46
126,Krivosheino,RU,2021-06-14 05:25:09,57.3431,83.9261,64.72,40,29,8.1
127,Grand Gaube,MU,2021-06-14 05:25:09,-20.0064,57.6608,76.37,56,20,11.01
128,Arlit,NE,2021-06-14 05:25:10,18.7369,7.3853,85.51,12,0,10.69
129,Hilo,US,2021-06-14 05:25:10,19.7297,-155.09,76.28,85,90,4.61
130,Padang,ID,2021-06-14 05:25:11,-0.9492,100.3543,86.05,81,22,4.0
131,Jiuquan,CN,2021-06-14 05:25:11,39.7432,98.5174,81.99,20,100,9.06
132,Bende,NG,2021-06-14 05:25:11,5.5572,7.6368,72.16,98,91,1.16
133,Sao Filipe,CV,2021-06-14 05:25:12,14.8961,-24.4956,74.95,82,88,13.22
134,Pozo Colorado,PY,2021-06-14 05:25:12,-23.4923,-58.7972,55.89,62,0,5.55
135,Nanakuli,US,2021-06-14 05:25:13,21.3906,-158.1547,78.75,58,1,8.05
136,Shaoyang,CN,2021-06-14 05:25:13,27.2315,111.4525,89.51,60,36,6.6
137,Sal Rei,CV,2021-06-14 05:25:14,16.1833,-22.9167,73.96,91,25,18.81
138,Tasiilaq,GL,2021-06-14 05:25:14,65.6145,-37.6368,33.96,90,97,3.94
139,Okmulgee,US,2021-06-14 05:25:15,35.6234,-95.9605,75.06,83,1,5.75
140,Cap Malheureux,MU,2021-06-14 05:25:15,-19.9842,57.6142,76.46,56,16,11.01
141,Hobyo,SO,2021-06-14 05:25:16,5.3505,48.5268,79.65,78,99,22.12
142,Faanui,PF,2021-06-14 05:25:16,-16.4833,-151.75,80.2,78,80,14.85
143,Ugoofaaru,MV,2021-06-14 05:21:14,5.6667,73.0,83.88,73,100,13.29
144,Tuktoyaktuk,CA,2021-06-14 05:25:17,69.4541,-133.0374,33.8,100,90,9.22
145,Sabang,ID,2021-06-14 05:25:17,5.8933,95.3214,83.91,74,99,12.5
